 Mortalidade - São Paulo
Óbitos p/Ocorrênc por Causa - CID-BR-10 e Mês do Óbito
Período:2018
"Causa - CID-BR-10";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";898;813;942;843;891;915;919;875;805;826;788;911;10426
". 001 Doenças infecciosas intestinais";80;63;74;73;83;67;79;72;68;74;78;82;893
"... 003 Diarréia e gastroenterite orig infec pres";71;51;58;61;70;51;63;58;52;59;65;70;729
"... 004 Outras doenças infecciosas intestinais";9;12;16;12;13;16;16;14;16;15;13;12;164
". 005-006 Tuberculose";68;73;72;61;79;89;84;94;82;79;63;67;911
"... 005 Tuberculose respiratória";56;62;54;50;68;76;74;82;71;61;55;53;762
"... 006 Outras tuberculoses";12;11;18;11;11;13;10;12;11;18;8;14;149
". 007-015 Outras doenças bacterianas";325;324;383;341;334;382;355;346;330;339;300;410;4169
"... 008 Leptospirose";9;6;7;8;4;6;4;-;3;6;6;8;67
"... 009 Hanseníase";1;-;3;-;2;-;3;-;-;-;2;1;12
"... 010 Tétano";1;1;-;1;-;-;-;1;-;-;1;1;6
"..... 010.3 Tétano acidental";1;1;-;1;-;-;-;1;-;-;1;1;6
"... 011 Difteria";-;-;-;-;1;-;-;-;-;-;-;-;1
"... 012 Coqueluche";-;1;-;-;-;1;-;1;-;-;-;-;3
"... 013 Infecção meningocócica";5;5;2;3;8;5;4;1;6;2;4;6;51
"... 014 Septicemia";259;251;300;269;262;304;275;288;264;275;239;331;3317
"... 015 Infecções com transmissão predom sexual";3;6;4;5;6;2;5;4;6;4;5;7;57
". 016-023 Doenças virais";307;253;324;269;263;257;269;256;212;220;251;244;3125
"... 018 Dengue";-;2;1;1;1;1;-;1;-;-;-;1;8
"... 019 Febre amarela";26;17;26;4;4;-;-;-;1;-;-;1;79
"... 020 Out febres p/arbovírus e febr hemor virais";23;5;6;5;4;2;-;-;-;1;3;4;53
"... 022 Hepatite viral";70;50;67;77;70;49;58;64;51;52;53;55;716
"... 023 Doen p/vírus da imunodefic humana (HIV)";171;168;207;168;175;191;192;175;148;158;174;172;2099
". 024-027 Doenças transmitidas por protozoários";87;82;72;74;90;79;95;76;82;77;62;87;963
"... 024 Malária";-;-;1;1;1;-;-;-;-;1;-;-;4
"... 025 Leishmaniose";-;-;3;1;2;1;-;3;2;-;2;1;15
"... 026 Doença de Chagas";83;81;66;70;83;76;90;69;79;75;59;84;915
"... 027 Toxoplasmose";3;-;1;2;1;-;1;2;-;1;-;1;12
". 028-030 Helmintíases";15;3;4;9;7;5;13;10;9;11;6;3;95
"... 028 Esquistossomose";11;2;4;7;6;3;8;9;9;9;4;2;74
"... 029 Cisticercose";3;1;-;2;1;1;4;1;-;2;1;1;17
"... 030 Restante de helmintíases";1;-;-;-;-;1;1;-;-;-;1;-;4
". 031 Restante algumas doenç infec e parasitárias";16;15;13;16;35;36;24;21;22;26;28;18;270
"032-052 NEOPLASIAS";4808;4287;4860;4770;4960;4881;4956;4812;4719;4745;4716;4954;57468
". 032 Neopl malig do lábio, cav oral e faringe";167;169;174;188;183;183;179;178;176;158;180;190;2125
". 033 Neoplasia maligna do esôfago";155;144;131;182;158;149;167;143;149;147;149;177;1851
". 034 Neoplasia maligna do estômago";312;253;314;289;317;286;318;307;317;324;275;294;3606
". 035 Neoplasia maligna do cólon,reto e ânus";504;458;528;507;516;511;535;476;499;482;497;505;6018
". 036 Neopl malig do fígado e vias bil intrahepát";232;204;211;236;212;222;213;200;225;204;202;252;2613
". 037 Neoplasia maligna do pâncreas";269;226;278;259;250;271;276;291;263;259;274;273;3189
". 038 Neoplasia maligna da laringe";97;97;96;102;93;96;100;101;89;101;96;109;1177
". 039 Neopl malig da traquéia,brônquios e pulmões";551;550;599;601;635;630;634;623;621;625;618;632;7319
". 040 Neoplasia maligna da pele";37;25;47;28;31;40;34;35;39;40;40;46;442
". 041 Neoplasia maligna da mama";388;346;407;343;396;373;417;389;373;398;385;376;4591
". 042 Neoplasia maligna do colo do útero";87;56;81;80;104;83;77;86;83;91;87;72;987
". 043 Neopl malig de corpo e partes n/esp útero";85;61;78;75;86;95;82;94;76;77;82;96;987
". 044 Neoplasia maligna do ovário";90;81;99;74;94;88;93;88;88;82;99;81;1057
". 045 Neoplasia maligna da próstata";279;252;290;274;304;269;318;263;260;262;235;273;3279
". 046 Neoplasia maligna da bexiga";120;106;88;106;103;114;97;105;107;107;96;106;1255
". 047 Neopl malig mening,encéf e out partes SNC";182;162;211;184;209;192;170;187;168;179;202;199;2245
